image_id,caption,lat,lon,elevation_meters,acquisition_date,tree_cover,nontree_veg,bare,landcover_code,landcover_name,temp_celsius,dewpoint_celsius,precip_meters,aridity_index,alphaearth
0_000_000,"Here’s a description of the visible physical features in the satellite image:

The image depicts a slightly sloping terrain covered in patches of brown vegetation and green shrubs. A gray road forms a curving intersection with another road. There are several rounded bushes and small trees scattered across the landscape. The ground appears uneven in some areas with visible undulations.",37.7391341978304,-122.097854727046,232.0,2020-05-24,17.0,64.0,19.0,10,Grasslands,17.0066772460938,10.2895446777344,22.5554555654526,0.117647058823529,"[0.16633602460592078, -0.05911572472126105, 0.08421376393694734, 0.13588619761630144, 0.08421376393694734, 0.17279507881584008, 0.004982698961937716, 0.15378700499807765, 0.1929104190695886, -0.13016532103037293, 0.12456747404844293, -0.05911572472126105, -0.2599000384467512, -0.07111111111111111, -0.012056901191849288, 0.08421376393694734, -0.004982698961937716, 0.01574778931180315, -0.07535563244905807, -0.07972318339100345, 0.01574778931180315, 0.07972318339100345, -0.05173394848135333, 0.04822760476739715, 0.05911572472126105, 0.16000000000000003, -0.15378700499807765, 0.05173394848135333, 0.19986159169550174, -0.003014225297962322, -0.0629911572472126, -0.05173394848135333, -0.03543252595155709, 0.03543252595155709, -0.05536332179930796, 0.07111111111111111, -0.07111111111111111, -0.006151480199923107, -0.28444444444444444, 0.17937716262975778, 0.12456747404844293, -0.07111111111111111, 0.186082276047674, -0.06698961937716265, 0.10340638216070744, 0.2069357939254133, 0.03844675124951941, -0.03254133025759323, 0.03543252595155709, -0.2599000384467512, -0.044844290657439445, 0.2069357939254133, 0.07535563244905807, -0.008858131487889272, -0.19986159169550174, -0.24415224913494812, 0.2288965782391388, -0.0005536332179930795, 0.04822760476739715, -0.0015378700499807767, 0.17279507881584008, -0.0629911572472126, 0.08882737408688965, -0.2069357939254133]"
0_000_001,"Here’s a description of the visible physical features in the satellite image:

The image depicts a residential area with a network of roads. Several houses with dark roofs are visible, clustered together. Trees and shrubs are present in yards and along the roadsides. There are also several vehicles parked along the streets. The terrain appears relatively flat.",37.6279392790592,-122.040084876441,35.0,2020-05-24,5.0,76.0,19.0,10,Grasslands,17.0066772460938,10.2895446777344,22.5554555654526,0.0874453466583385,"[0.08421376393694734, -0.28444444444444444, 0.1085121107266436, 0.15378700499807765, 0.12456747404844293, -0.06698961937716265, -0.10340638216070744, 0.044844290657439445, 0.029773164167627833, -0.05173394848135333, 0.09842368319876971, 0.0271280276816609, -0.16633602460592078, -0.2364628988850442, -0.05173394848135333, -0.006151480199923107, 0.12456747404844293, 0.16633602460592078, -0.041584006151480196, -0.05911572472126105, -0.002214532871972318, 0.05536332179930796, -0.1085121107266436, 0.044844290657439445, 0.01384083044982699, 0.31009611687812383, -0.006151480199923107, 0.08882737408688965, 0.17937716262975778, -0.03543252595155709, -0.08882737408688965, -0.16000000000000003, -0.08882737408688965, -0.12456747404844293, 0.13016532103037293, -0.08882737408688965, -0.03543252595155709, -0.07972318339100345, -0.09356401384083046, 0.2679584775086506, 0.01384083044982699, -0.2069357939254133, 0.15378700499807765, -0.0271280276816609, 0.11909265667051133, 0.16000000000000003, -0.05536332179930796, 0.11374086889657825, 0.09842368319876971, -0.08882737408688965, -0.04822760476739715, 0.186082276047674, 0.0271280276816609, 0.05911572472126105, -0.09356401384083046, -0.2679584775086506, 0.2364628988850442, -0.09356401384083046, -0.06698961937716265, -0.044844290657439445, 0.17937716262975778, 0.07111111111111111, -0.017777777777777778, -0.05536332179930796]"
0_000_002,"Here's a description of the visible physical features in the satellite image:

A wide, gray roadway stretches across the upper portion of the image. Several smaller roads branch off from the main roadway. There are numerous buildings with flat roofs visible throughout the scene. Green vegetation, including trees and grassy areas, is present in patches and along the roads. Several vehicles are parked along the roads. The ground appears to be a mix of dirt and pavement.",37.6917282282352,-122.098831000846,61.0,2020-05-24,4.0,53.0,43.0,13,Urban,17.0066772460938,10.2895446777344,22.5554555654526,0.108142493638677,"[0.14173010380622836, -0.29287197231833906, 0.09356401384083046, 0.15378700499807765, 0.13588619761630144, -0.05911572472126105, -0.05911572472126105, 0.05911572472126105, -0.04822760476739715, 0.041584006151480196, 0.044844290657439445, 0.07535563244905807, -0.186082276047674, -0.1929104190695886, -0.15378700499807765, -0.03844675124951941, 0.13588619761630144, 0.1929104190695886, -0.017777777777777778, -0.003014225297962322, 0.05911572472126105, 0.041584006151480196, -0.10340638216070744, 0.03844675124951941, 0.008858131487889272, 0.24415224913494812, -0.041584006151480196, 0.13016532103037293, 0.186082276047674, -0.029773164167627833, -0.08882737408688965, -0.17279507881584008, -0.007443291041906958, -0.16633602460592078, 0.13016532103037293, -0.08882737408688965, -0.07535563244905807, -0.12456747404844293, -0.10340638216070744, 0.2069357939254133, -0.04822760476739715, -0.2069357939254133, 0.07972318339100345, -0.07111111111111111, 0.15378700499807765, 0.13588619761630144, -0.09356401384083046, 0.09842368319876971, 0.05911572472126105, -0.041584006151480196, -0.05173394848135333, 0.24415224913494812, -0.0271280276816609, 0.024605920799692427, -0.041584006151480196, -0.3014225297962323, 0.2599000384467512, -0.01384083044982699, -0.05536332179930796, 0.006151480199923107, 0.14769703960015382, 0.01384083044982699, -0.024605920799692427, -0.05911572472126105]"
0_000_003,"The image shows a white terrain with a green vegetated slope on the left side. A gray linear feature extends across the image. Several small, irregularly shaped dark spots are visible on the white terrain. A narrow gray linear feature extends diagonally across the image from the lower left to the upper right.",37.6518503779264,-122.145738412173,10.0,2020-05-25,4.0,35.0,61.0,13,Urban,17.0066772460938,10.2895446777344,22.5554555654526,0.104918032786885,"[0.029773164167627833, -0.21413302575932336, 0.09356401384083046, 0.17279507881584008, -0.017777777777777778, 0.11374086889657825, 0.04822760476739715, 0.14173010380622836, -0.041584006151480196, 0.07535563244905807, 0.24415224913494812, -0.05536332179930796, -0.16633602460592078, -0.13016532103037293, -0.05173394848135333, -0.11374086889657825, 0.0271280276816609, 0.022206843521722412, -0.22145328719723184, -0.24415224913494812, 0.05536332179930796, -0.03543252595155709, -0.11909265667051133, 0.1085121107266436, -0.022206843521722412, 0.022206843521722412, 0.024605920799692427, 0.05536332179930796, 0.11909265667051133, 0.06698961937716265, -0.07972318339100345, -0.08882737408688965, 0.11374086889657825, -0.24415224913494812, -0.13016532103037293, 0.186082276047674, 0.044844290657439445, -0.09356401384083046, -0.17279507881584008, 0.17279507881584008, 0.017777777777777778, -0.16633602460592078, -0.03254133025759323, -0.08421376393694734, 0.13016532103037293, 0.11909265667051133, 0.012056901191849288, 0.05173394848135333, 0.05911572472126105, -0.05173394848135333, -0.17279507881584008, 0.3278123798539023, -0.07535563244905807, -0.024605920799692427, -0.07972318339100345, -0.28444444444444444, 0.08882737408688965, -0.07972318339100345, 0.07972318339100345, -0.019930795847750864, 0.08421376393694734, -0.10340638216070744, 0.14173010380622836, 0.07535563244905807]"
0_000_004,"The image shows a heavily vegetated area with dense green trees. There is a prominent, sloping terrain feature that appears to be a hillside. A dark, winding path or trail is visible within the lower portion of the image. The terrain transitions to a flatter area with scattered trees.",37.694296323058,-122.041206508373,139.0,2020-05-24,15.0,75.0,10.0,9,Savannas,17.0066772460938,10.2895446777344,22.5554555654526,0.115904700579524,"[0.16000000000000003, -0.05911572472126105, 0.08882737408688965, 0.017777777777777778, 0.03254133025759323, 0.04822760476739715, 0.0015378700499807767, 0.186082276047674, 0.19986159169550174, -0.15378700499807765, 0.1085121107266436, -0.05911572472126105, -0.28444444444444444, -0.14769703960015382, 0.044844290657439445, 0.12456747404844293, -0.03844675124951941, 0.10340638216070744, -0.11909265667051133, -0.08421376393694734, 0.024605920799692427, 0.14173010380622836, -0.05536332179930796, 0.05536332179930796, 0.1085121107266436, 0.14769703960015382, -0.13016532103037293, 0.01574778931180315, 0.24415224913494812, 0.07535563244905807, 0.01384083044982699, -0.05911572472126105, 0.05536332179930796, 0.05536332179930796, -0.13016532103037293, -0.024605920799692427, -0.0271280276816609, -0.03543252595155709, -0.17279507881584008, 0.14173010380622836, 0.11374086889657825, -0.10340638216070744, 0.14173010380622836, -0.05173394848135333, 0.09842368319876971, 0.22145328719723184, 0.04822760476739715, 0.0629911572472126, 0.06698961937716265, -0.186082276047674, -0.08421376393694734, 0.11909265667051133, 0.06698961937716265, 0.03543252595155709, -0.3553094963475586, -0.2364628988850442, 0.19986159169550174, -0.07111111111111111, 0.004982698961937716, 0.09356401384083046, 0.14173010380622836, -0.07111111111111111, 0.11374086889657825, -0.14173010380622836]"
0_000_005,"Here's a description of the visible physical features in the satellite image:

The image depicts a large paved area with a grid pattern of roadways. Several trees are scattered throughout the area, with some appearing to be grouped together. There are multiple buildings with white roofs visible along the edges of the paved area. A yellow painted line marks a roadway. Several vehicles are present on the pavement.",37.6863036421214,-122.13871645917,18.0,2020-05-25,6.0,54.0,40.0,13,Urban,17.0066772460938,10.2895446777344,22.5554555654526,0.0973393900064893,"[0.07111111111111111, -0.36472126105344094, 0.09842368319876971, 0.12456747404844293, -0.008858131487889272, -0.14173010380622836, -0.07535563244905807, -0.01384083044982699, 0.017777777777777778, -0.08882737408688965, 0.2364628988850442, 0.07111111111111111, -0.13016532103037293, -0.2069357939254133, -0.04822760476739715, -0.11374086889657825, 0.11909265667051133, 0.04822760476739715, -0.13588619761630144, -0.08882737408688965, 0.022206843521722412, 0.03844675124951941, -0.186082276047674, 0.041584006151480196, -0.12456747404844293, 0.16633602460592078, 0.03543252595155709, 0.06698961937716265, 0.14173010380622836, 0.07535563244905807, -0.03543252595155709, -0.24415224913494812, -0.000984236831987697, -0.2288965782391388, -0.0015378700499807767, 0.0271280276816609, -0.17279507881584008, -0.041584006151480196, -0.09356401384083046, 0.2069357939254133, -0.0629911572472126, -0.17937716262975778, 0.03844675124951941, -0.07535563244905807, 0.12456747404844293, 0.07111111111111111, -0.05173394848135333, 0.13016532103037293, 0.11909265667051133, -0.041584006151480196, -0.0629911572472126, 0.22145328719723184, -0.12456747404844293, 0.041584006151480196, -0.07111111111111111, -0.24415224913494812, 0.15378700499807765, -0.09842368319876971, -0.05536332179930796, -0.03254133025759323, 0.12456747404844293, 0.019930795847750864, -0.08882737408688965, 0.10340638216070744]"
0_000_006,"The image shows a network of roadways curving through an area with patches of green vegetation. There are several structures visible, appearing as rectangular shapes with roofs. Some areas feature grassy areas alongside the roads. The terrain appears relatively flat with a mixture of light and darker surfaces.",37.6677513439708,-122.042158477074,205.0,2020-05-24,21.0,68.0,11.0,9,Savannas,17.0066772460938,10.2895446777344,22.5554555654526,0.120634920634921,"[0.13588619761630144, -0.22145328719723184, 0.2364628988850442, 0.09356401384083046, 0.044844290657439445, -0.004982698961937716, -0.05911572472126105, -0.008858131487889272, 0.08882737408688965, -0.15378700499807765, 0.09842368319876971, 0.08882737408688965, -0.1929104190695886, -0.11909265667051133, -0.05173394848135333, 0.11909265667051133, 0.07972318339100345, 0.13016532103037293, 0.006151480199923107, -0.1085121107266436, 0.04822760476739715, 0.07972318339100345, 0.008858131487889272, 0.09356401384083046, -0.07535563244905807, 0.2364628988850442, -0.11909265667051133, 0.03543252595155709, 0.17937716262975778, 0.01574778931180315, 0.004982698961937716, -0.10340638216070744, -0.044844290657439445, -0.13016532103037293, 0.08421376393694734, -0.04822760476739715, -0.16633602460592078, 0.006151480199923107, -0.19986159169550174, 0.15378700499807765, -0.07972318339100345, -0.17937716262975778, 0.07972318339100345, -0.05911572472126105, 0.12456747404844293, 0.186082276047674, -0.11374086889657825, 0.07111111111111111, 0.13016532103037293, -0.16000000000000003, 0.019930795847750864, 0.2069357939254133, -0.13588619761630144, 0.019930795847750864, -0.06698961937716265, -0.34602076124567477, 0.1929104190695886, -0.041584006151480196, 0.041584006151480196, 0.07535563244905807, 0.13588619761630144, 0.0629911572472126, -0.05173394848135333, -0.186082276047674]"
0_000_007,"The image shows a predominantly green, grassy area with a repeating pattern of parallel lines. A dark gray road runs diagonally across the lower portion of the image. Numerous small, green trees are scattered throughout the grassy area. There are also several larger, mature trees visible. The overall surface appears to be relatively flat and covered in vegetation.",37.646464601172305,-122.06214713725,27.0,2020-05-24,10.0,73.0,17.0,13,Urban,17.0066772460938,10.2895446777344,22.5554555654526,0.100313479623824,"[0.13016532103037293, -0.2679584775086506, 0.186082276047674, 0.186082276047674, 0.03543252595155709, 0.024605920799692427, 0.09356401384083046, 0.2288965782391388, 0.06698961937716265, -0.08421376393694734, 0.07972318339100345, -0.11909265667051133, -0.2364628988850442, -0.16000000000000003, 0.1085121107266436, 0.04822760476739715, -0.15378700499807765, 0.05536332179930796, -0.09356401384083046, -0.04822760476739715, 0.0005536332179930795, -0.13016532103037293, -0.01574778931180315, 0.08421376393694734, 0.12456747404844293, 0.14173010380622836, -0.05536332179930796, -0.03543252595155709, 0.17937716262975778, -0.07972318339100345, -0.09356401384083046, -0.09842368319876971, -0.13016532103037293, -0.01574778931180315, -0.06698961937716265, 0.14769703960015382, 0.06698961937716265, -0.08421376393694734, -0.2599000384467512, 0.12456747404844293, 0.09842368319876971, -0.13016532103037293, -0.08882737408688965, -0.0629911572472126, 0.17279507881584008, 0.15378700499807765, 0.012056901191849288, -0.01384083044982699, -0.024605920799692427, 0.041584006151480196, -0.11374086889657825, 0.2364628988850442, -0.11909265667051133, 0.08421376393694734, -0.1929104190695886, -0.2599000384467512, 0.16000000000000003, 0.010396001537870049, -0.017777777777777778, 0.17279507881584008, 0.08421376393694734, -0.05536332179930796, 0.01384083044982699, -0.06698961937716265]"
0_000_008,"The image shows a densely vegetated area with a significant amount of green foliage. There appears to be a dark, narrow area that could be a river or lake, reflecting light. A light-colored, possibly sandy, area is visible near the bottom of the image, likely a shoreline or riverbank. The terrain consists of rolling hills covered in dense vegetation.",37.735689294979906,-122.118362071287,85.0,2020-05-24,14.0,75.0,11.0,1,Evergreen Needleleaf,17.0066772460938,10.2895446777344,22.5554555654526,0.117647058823529,"[0.186082276047674, -0.08882737408688965, -0.08882737408688965, 0.13016532103037293, 0.08882737408688965, -0.003014225297962322, 0.006151480199923107, 0.2679584775086506, 0.07535563244905807, -0.05536332179930796, 0.10340638216070744, 0.06698961937716265, -0.29287197231833906, -0.14769703960015382, 0.11909265667051133, 0.03254133025759323, -0.17279507881584008, -0.024605920799692427, -0.1085121107266436, 0.1929104190695886, 0.022206843521722412, 0.07111111111111111, -0.09356401384083046, 0.029773164167627833, 0.14173010380622836, 0.17937716262975778, -0.15378700499807765, -0.0271280276816609, 0.22145328719723184, -0.003936947327950788, -0.022206843521722412, -0.0271280276816609, 0.05911572472126105, 0.07535563244905807, -0.05173394848135333, 0.044844290657439445, -0.03543252595155709, -0.10340638216070744, -0.12456747404844293, 0.010396001537870049, -0.03543252595155709, -0.01384083044982699, 0.13016532103037293, -0.029773164167627833, 0.15378700499807765, 0.22145328719723184, 0.09842368319876971, -0.05536332179930796, 0.07111111111111111, -0.0271280276816609, -0.186082276047674, -0.007443291041906958, 0.06698961937716265, 0.14173010380622836, -0.3188927335640138, -0.2679584775086506, 0.13016532103037293, -0.05911572472126105, -0.07972318339100345, 0.029773164167627833, 0.13588619761630144, -0.12456747404844293, 0.0629911572472126, -0.17937716262975778]"
0_000_009,"The image depicts a terrain with dense, dark green vegetation covering a large area. A dirt road extends across the lower portion of the image. Several buildings with brown roofs are visible within the vegetation. There appears to be a patch of lighter colored ground near the road.",37.7242003068142,-122.056797878351,208.0,2020-05-24,27.0,62.0,11.0,1,Evergreen Needleleaf,17.0066772460938,10.2895446777344,22.5554555654526,0.116807268007787,"[0.186082276047674, -0.10340638216070744, 0.012056901191849288, 0.08882737408688965, 0.03844675124951941, -0.0629911572472126, -0.008858131487889272, 0.2288965782391388, 0.14769703960015382, -0.07972318339100345, -0.10340638216070744, 0.006151480199923107, -0.33685505574778934, -0.17937716262975778, 0.06698961937716265, 0.09356401384083046, -0.13588619761630144, 0.11374086889657825, -0.03543252595155709, 0.05173394848135333, 0.022206843521722412, 0.16633602460592078, -0.10340638216070744, -0.01384083044982699, 0.11909265667051133, 0.22145328719723184, -0.15378700499807765, 0.05911572472126105, 0.2288965782391388, -0.0271280276816609, 0.05173394848135333, -0.029773164167627833, 0.012056901191849288, 0.21413302575932336, -0.01574778931180315, -0.041584006151480196, 0.05911572472126105, -0.1085121107266436, -0.13588619761630144, 0.04822760476739715, 0.0271280276816609, 0.041584006151480196, 0.14173010380622836, 0.012056901191849288, 0.1085121107266436, 0.17937716262975778, -0.044844290657439445, 0.024605920799692427, -0.024605920799692427, -0.09356401384083046, -0.03844675124951941, -0.022206843521722412, 0.04822760476739715, 0.0629911572472126, -0.2761399461745483, -0.2599000384467512, 0.186082276047674, 0.05911572472126105, -0.10340638216070744, 0.0271280276816609, 0.19986159169550174, -0.14769703960015382, -0.16000000000000003, -0.11374086889657825]"
